Incident_ID,Timestamp,Service,Incident_Type,Description,Root_Cause,Resolution,Time_To_Resolve_Mins
INC-1054,2025-09-27 15:56:54,Analytics-Worker,Deployment Failure,502 Bad Gateway errors observed from load balancer.,Expired TLS certificate on internal load balancer.,Cleared docker builder cache and expanded runner EBS volume.,175
INC-1032,2025-09-27 16:53:54,Frontend-UI,Network Timeout,Disk space critical: > 95% utilized on /var/log.,Expired TLS certificate on internal load balancer.,Scaled up replicas from 3 to 10 to handle the load.,74
INC-1385,2025-09-28 07:26:54,Kafka-Cluster,Network Timeout,Database replication lag exceeded 5 minutes.,Long-running queries locked database tables.,Scaled up replicas from 3 to 10 to handle the load.,85
INC-1062,2025-09-28 16:14:54,Kafka-Cluster,Service Outage,API response times exceeded 2000ms threshold.,Long-running queries locked database tables.,Killed the blocking database queries and added missing indexes.,83
INC-1033,2025-09-29 05:59:54,Kafka-Cluster,Security Alert,Pods are stuck in CrashLoopBackOff state.,Memory limits set too low in Kubernetes deployment manifests.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",121
INC-1059,2025-09-29 20:33:54,Frontend-UI,Network Timeout,Database replication lag exceeded 5 minutes.,Memory limits set too low in Kubernetes deployment manifests.,Implemented exponential backoff and contacted vendor for quota increase.,140
INC-1189,2025-09-29 23:57:54,User-API,Service Outage,Database replication lag exceeded 5 minutes.,Deadlock in concurrent transaction processing.,Rebooted unresponsive nodes and cordoned them for investigation.,237
INC-1483,2025-09-30 22:41:54,Payment-Gateway,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,CI/CD runner ran out of disk space during docker build.,Renewed and deployed updated TLS certificates via Let's Encrypt.,81
INC-1181,2025-10-02 06:25:54,Redis-Cache,Resource Exhaustion,API response times exceeded 2000ms threshold.,Recent deployment introduced a memory leak.,Flushed Redis cache and restarted worker instances.,99
INC-1350,2025-10-02 16:42:54,Kubernetes Cluster,Deployment Failure,Connections refused by the primary database.,Network partition between primary and secondary availability zones.,Flushed Redis cache and restarted worker instances.,78
INC-1454,2025-10-03 04:45:54,Redis-Cache,Service Outage,Kafka consumer lag building up beyond alerting threshold.,Upstream API dependency rate-limited our service requests.,Rebooted unresponsive nodes and cordoned them for investigation.,213
INC-1472,2025-10-03 15:56:54,Kafka-Cluster,Security Alert,Connections refused by the primary database.,Deadlock in concurrent transaction processing.,Rolled back to the previous stable release and initiated RCA.,182
INC-1150,2025-10-03 19:33:54,User-API,Database Error,502 Bad Gateway errors observed from load balancer.,Upstream API dependency rate-limited our service requests.,Corrected the AWS security group rules to allow port 443.,38
INC-1424,2025-10-04 16:51:54,Kubernetes Cluster,Network Timeout,Memory leak causing OOM (Out of Memory) kills.,Deadlock in concurrent transaction processing.,Flushed Redis cache and restarted worker instances.,39
INC-1280,2025-10-04 22:40:54,Kafka-Cluster,Network Timeout,Connections refused by the primary database.,Recent deployment introduced a memory leak.,Killed the blocking database queries and added missing indexes.,104
INC-1298,2025-10-05 08:10:54,Kubernetes Cluster,Service Outage,Disk space critical: > 95% utilized on /var/log.,Deadlock in concurrent transaction processing.,Flushed Redis cache and restarted worker instances.,43
INC-1249,2025-10-06 13:25:54,Frontend-UI,Deployment Failure,502 Bad Gateway errors observed from load balancer.,Deadlock in concurrent transaction processing.,Cleared docker builder cache and expanded runner EBS volume.,186
INC-1141,2025-10-07 00:09:54,Inventory-DB,Performance Degradation,SSL Certificate expiration warning.,"Log rotation failed, filling up disk space.",Scaled up replicas from 3 to 10 to handle the load.,173
INC-1056,2025-10-07 21:43:54,Inventory-DB,Service Outage,API response times exceeded 2000ms threshold.,CI/CD runner ran out of disk space during docker build.,Killed the blocking database queries and added missing indexes.,94
INC-1096,2025-10-09 22:14:54,Inventory-DB,Database Error,Database replication lag exceeded 5 minutes.,Deadlock in concurrent transaction processing.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",29
INC-1394,2025-10-10 02:24:54,Kafka-Cluster,Resource Exhaustion,DNS resolution failures in internal VPC.,Memory limits set too low in Kubernetes deployment manifests.,Killed the blocking database queries and added missing indexes.,22
INC-1228,2025-10-11 08:51:54,Kubernetes Cluster,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,CI/CD runner ran out of disk space during docker build.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",143
INC-1057,2025-10-11 12:30:54,Inventory-DB,Resource Exhaustion,502 Bad Gateway errors observed from load balancer.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,120
INC-1097,2025-10-12 01:51:54,Payment-Gateway,Performance Degradation,Disk space critical: > 95% utilized on /var/log.,Expired TLS certificate on internal load balancer.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",240
INC-1335,2025-10-12 21:43:54,CI/CD Pipeline,Database Error,Memory leak causing OOM (Out of Memory) kills.,Missing index on newly deployed database table causing full table scans.,Rebooted unresponsive nodes and cordoned them for investigation.,17
INC-1257,2025-10-13 13:16:54,Redis-Cache,Performance Degradation,SSL Certificate expiration warning.,Long-running queries locked database tables.,Cleared docker builder cache and expanded runner EBS volume.,200
INC-1390,2025-10-13 13:40:54,Redis-Cache,Service Outage,Redis cache eviction rate spiked.,Surge in unexpected traffic overwhelmed the service capacity.,Corrected the AWS security group rules to allow port 443.,164
INC-1236,2025-10-15 08:59:54,Analytics-Worker,Service Outage,High CPU utilization detected on primary nodes.,Expired TLS certificate on internal load balancer.,Implemented exponential backoff and contacted vendor for quota increase.,202
INC-1123,2025-10-15 16:46:54,Payment-Gateway,Security Alert,High number of 5xx errors from backend services.,CI/CD runner ran out of disk space during docker build.,Killed the blocking database queries and added missing indexes.,53
INC-1369,2025-10-16 05:09:54,Analytics-Worker,Database Error,High number of 5xx errors from backend services.,Memory limits set too low in Kubernetes deployment manifests.,Flushed Redis cache and restarted worker instances.,203
INC-1395,2025-10-16 17:01:54,Auth-Service,Deployment Failure,Connections refused by the primary database.,Missing index on newly deployed database table causing full table scans.,Flushed Redis cache and restarted worker instances.,148
INC-1209,2025-10-18 15:32:54,CI/CD Pipeline,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,Long-running queries locked database tables.,Cleared docker builder cache and expanded runner EBS volume.,124
INC-1161,2025-10-19 03:45:54,Redis-Cache,Security Alert,API response times exceeded 2000ms threshold.,Missing index on newly deployed database table causing full table scans.,Increased pod resource limits (memory) in Helm chart and redeployed.,138
INC-1207,2025-10-19 14:50:54,Auth-Service,Network Timeout,Connections refused by the primary database.,Deadlock in concurrent transaction processing.,Flushed Redis cache and restarted worker instances.,217
INC-1013,2025-10-19 18:05:54,User-API,Service Outage,Disk space critical: > 95% utilized on /var/log.,Misconfigured security group blocked inter-node traffic.,Implemented exponential backoff and contacted vendor for quota increase.,125
INC-1461,2025-10-20 02:38:54,Kafka-Cluster,Performance Degradation,High number of 5xx errors from backend services.,Missing index on newly deployed database table causing full table scans.,Increased pod resource limits (memory) in Helm chart and redeployed.,112
INC-1497,2025-10-20 23:40:54,User-API,Security Alert,DNS resolution failures in internal VPC.,Expired TLS certificate on internal load balancer.,Rebooted unresponsive nodes and cordoned them for investigation.,117
INC-1122,2025-10-21 06:59:54,Payment-Gateway,Deployment Failure,Memory leak causing OOM (Out of Memory) kills.,CI/CD runner ran out of disk space during docker build.,Scaled up replicas from 3 to 10 to handle the load.,88
INC-1246,2025-10-22 05:16:54,CI/CD Pipeline,Database Error,Kafka consumer lag building up beyond alerting threshold.,Upstream API dependency rate-limited our service requests.,Scaled up replicas from 3 to 10 to handle the load.,54
INC-1457,2025-10-22 18:04:54,Inventory-DB,Database Error,Disk space critical: > 95% utilized on /var/log.,CI/CD runner ran out of disk space during docker build.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",201
INC-1099,2025-10-24 22:40:54,Kafka-Cluster,Resource Exhaustion,502 Bad Gateway errors observed from load balancer.,CI/CD runner ran out of disk space during docker build.,Cleared docker builder cache and expanded runner EBS volume.,53
INC-1196,2025-10-25 04:11:54,Inventory-DB,Security Alert,DNS resolution failures in internal VPC.,Expired TLS certificate on internal load balancer.,Cleared docker builder cache and expanded runner EBS volume.,146
INC-1007,2025-10-25 12:35:54,Frontend-UI,Database Error,Kafka consumer lag building up beyond alerting threshold.,Long-running queries locked database tables.,Increased pod resource limits (memory) in Helm chart and redeployed.,207
INC-1145,2025-10-26 20:34:54,Payment-Gateway,Security Alert,Pods are stuck in CrashLoopBackOff state.,Deadlock in concurrent transaction processing.,Cleared docker builder cache and expanded runner EBS volume.,192
INC-1433,2025-10-26 20:52:54,Payment-Gateway,Service Outage,Redis cache eviction rate spiked.,Missing index on newly deployed database table causing full table scans.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",113
INC-1119,2025-10-27 14:53:54,Analytics-Worker,Resource Exhaustion,Pods are stuck in CrashLoopBackOff state.,Network partition between primary and secondary availability zones.,Flushed Redis cache and restarted worker instances.,47
INC-1240,2025-10-28 05:31:54,Frontend-UI,Network Timeout,High CPU utilization detected on primary nodes.,Misconfigured security group blocked inter-node traffic.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",69
INC-1156,2025-10-28 11:06:54,Payment-Gateway,Service Outage,Database replication lag exceeded 5 minutes.,Misconfigured security group blocked inter-node traffic.,Renewed and deployed updated TLS certificates via Let's Encrypt.,72
INC-1212,2025-10-28 14:51:54,Kubernetes Cluster,Service Outage,Disk space critical: > 95% utilized on /var/log.,Deadlock in concurrent transaction processing.,Cleared docker builder cache and expanded runner EBS volume.,196
INC-1401,2025-10-28 16:34:54,CI/CD Pipeline,Network Timeout,Disk space critical: > 95% utilized on /var/log.,Expired TLS certificate on internal load balancer.,Cleared docker builder cache and expanded runner EBS volume.,97
INC-1438,2025-10-31 09:03:54,Payment-Gateway,Deployment Failure,Jenkins build pipeline failing on integration tests.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,43
INC-1391,2025-10-31 13:45:54,Auth-Service,Deployment Failure,Disk space critical: > 95% utilized on /var/log.,Recent deployment introduced a memory leak.,Flushed Redis cache and restarted worker instances.,184
INC-1448,2025-11-01 21:50:54,Kafka-Cluster,Database Error,Pods are stuck in CrashLoopBackOff state.,Recent deployment introduced a memory leak.,Implemented exponential backoff and contacted vendor for quota increase.,162
INC-1326,2025-11-03 00:10:54,Auth-Service,Performance Degradation,Memory leak causing OOM (Out of Memory) kills.,"Log rotation failed, filling up disk space.",Restarted kubelet service on affected worker nodes.,156
INC-1221,2025-11-05 02:58:54,Frontend-UI,Service Outage,Kafka consumer lag building up beyond alerting threshold.,Missing index on newly deployed database table causing full table scans.,Implemented exponential backoff and contacted vendor for quota increase.,113
INC-1130,2025-11-05 04:43:54,Analytics-Worker,Security Alert,Kafka consumer lag building up beyond alerting threshold.,"Log rotation failed, filling up disk space.",Scaled up replicas from 3 to 10 to handle the load.,5
INC-1452,2025-11-05 10:10:54,User-API,Resource Exhaustion,SSL Certificate expiration warning.,Long-running queries locked database tables.,Renewed and deployed updated TLS certificates via Let's Encrypt.,14
INC-1499,2025-11-06 04:57:54,Inventory-DB,Database Error,SSL Certificate expiration warning.,Memory limits set too low in Kubernetes deployment manifests.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",24
INC-1182,2025-11-06 11:33:54,User-API,Resource Exhaustion,Database replication lag exceeded 5 minutes.,Recent deployment introduced a memory leak.,Rolled back to the previous stable release and initiated RCA.,132
INC-1174,2025-11-06 17:29:54,Redis-Cache,Service Outage,Pods are stuck in CrashLoopBackOff state.,Surge in unexpected traffic overwhelmed the service capacity.,Rolled back to the previous stable release and initiated RCA.,65
INC-1397,2025-11-07 08:19:54,Redis-Cache,Network Timeout,Memory leak causing OOM (Out of Memory) kills.,Deadlock in concurrent transaction processing.,Scaled up replicas from 3 to 10 to handle the load.,236
INC-1117,2025-11-07 18:02:54,Payment-Gateway,Security Alert,Jenkins build pipeline failing on integration tests.,"Log rotation failed, filling up disk space.",Corrected the AWS security group rules to allow port 443.,156
INC-1352,2025-11-08 01:36:54,Payment-Gateway,Service Outage,API response times exceeded 2000ms threshold.,Long-running queries locked database tables.,Cleared docker builder cache and expanded runner EBS volume.,23
INC-1344,2025-11-08 23:11:54,User-API,Network Timeout,Jenkins build pipeline failing on integration tests.,Upstream API dependency rate-limited our service requests.,Scaled up replicas from 3 to 10 to handle the load.,174
INC-1034,2025-11-09 01:49:54,Frontend-UI,Network Timeout,DNS resolution failures in internal VPC.,CI/CD runner ran out of disk space during docker build.,Rebooted unresponsive nodes and cordoned them for investigation.,184
INC-1387,2025-11-09 08:48:54,Kubernetes Cluster,Deployment Failure,API response times exceeded 2000ms threshold.,Expired TLS certificate on internal load balancer.,Flushed Redis cache and restarted worker instances.,99
INC-1194,2025-11-09 09:16:54,Kubernetes Cluster,Security Alert,Pods are stuck in CrashLoopBackOff state.,Long-running queries locked database tables.,Increased pod resource limits (memory) in Helm chart and redeployed.,184
INC-1144,2025-11-10 21:46:54,Analytics-Worker,Service Outage,SSL Certificate expiration warning.,Expired TLS certificate on internal load balancer.,Scaled up replicas from 3 to 10 to handle the load.,34
INC-1208,2025-11-12 23:58:54,Kafka-Cluster,Deployment Failure,Database replication lag exceeded 5 minutes.,Missing index on newly deployed database table causing full table scans.,Scaled up replicas from 3 to 10 to handle the load.,45
INC-1109,2025-11-13 15:20:54,Redis-Cache,Security Alert,502 Bad Gateway errors observed from load balancer.,CI/CD runner ran out of disk space during docker build.,Flushed Redis cache and restarted worker instances.,240
INC-1443,2025-11-13 21:43:54,Payment-Gateway,Network Timeout,Disk space critical: > 95% utilized on /var/log.,Network partition between primary and secondary availability zones.,Rolled back to the previous stable release and initiated RCA.,31
INC-1404,2025-11-13 22:14:54,Inventory-DB,Resource Exhaustion,Redis cache eviction rate spiked.,Upstream API dependency rate-limited our service requests.,Rolled back to the previous stable release and initiated RCA.,228
INC-1073,2025-11-14 11:23:54,Payment-Gateway,Resource Exhaustion,Disk space critical: > 95% utilized on /var/log.,Memory limits set too low in Kubernetes deployment manifests.,Rebooted unresponsive nodes and cordoned them for investigation.,159
INC-1494,2025-11-14 19:19:54,CI/CD Pipeline,Service Outage,Database replication lag exceeded 5 minutes.,Long-running queries locked database tables.,Rebooted unresponsive nodes and cordoned them for investigation.,31
INC-1162,2025-11-14 20:00:54,CI/CD Pipeline,Database Error,502 Bad Gateway errors observed from load balancer.,Memory limits set too low in Kubernetes deployment manifests.,Scaled up replicas from 3 to 10 to handle the load.,167
INC-1269,2025-11-15 19:34:54,CI/CD Pipeline,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,Misconfigured security group blocked inter-node traffic.,Increased pod resource limits (memory) in Helm chart and redeployed.,143
INC-1468,2025-11-16 23:10:54,Kubernetes Cluster,Database Error,DNS resolution failures in internal VPC.,Expired TLS certificate on internal load balancer.,Corrected the AWS security group rules to allow port 443.,230
INC-1486,2025-11-17 01:44:54,Kubernetes Cluster,Service Outage,Connections refused by the primary database.,Memory limits set too low in Kubernetes deployment manifests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,18
INC-1155,2025-11-17 01:58:54,CI/CD Pipeline,Service Outage,High number of 5xx errors from backend services.,Long-running queries locked database tables.,Increased pod resource limits (memory) in Helm chart and redeployed.,87
INC-1346,2025-11-17 04:52:54,Kafka-Cluster,Network Timeout,Connections refused by the primary database.,Surge in unexpected traffic overwhelmed the service capacity.,Restarted kubelet service on affected worker nodes.,46
INC-1405,2025-11-17 09:10:54,Kafka-Cluster,Security Alert,Jenkins build pipeline failing on integration tests.,Deadlock in concurrent transaction processing.,Rebooted unresponsive nodes and cordoned them for investigation.,19
INC-1275,2025-11-17 23:36:54,Redis-Cache,Database Error,High number of 5xx errors from backend services.,Surge in unexpected traffic overwhelmed the service capacity.,Cleared docker builder cache and expanded runner EBS volume.,146
INC-1247,2025-11-20 10:02:54,Inventory-DB,Security Alert,API response times exceeded 2000ms threshold.,Expired TLS certificate on internal load balancer.,Increased pod resource limits (memory) in Helm chart and redeployed.,7
INC-1362,2025-11-23 17:28:54,User-API,Security Alert,Kafka consumer lag building up beyond alerting threshold.,Memory limits set too low in Kubernetes deployment manifests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,201
INC-1374,2025-11-25 14:51:54,Inventory-DB,Performance Degradation,DNS resolution failures in internal VPC.,Surge in unexpected traffic overwhelmed the service capacity.,Corrected the AWS security group rules to allow port 443.,92
INC-1446,2025-11-25 18:25:54,Kafka-Cluster,Network Timeout,DNS resolution failures in internal VPC.,Recent deployment introduced a memory leak.,Implemented exponential backoff and contacted vendor for quota increase.,26
INC-1142,2025-11-26 10:39:54,Frontend-UI,Network Timeout,High number of 5xx errors from backend services.,Misconfigured security group blocked inter-node traffic.,Flushed Redis cache and restarted worker instances.,5
INC-1158,2025-11-26 18:34:54,Redis-Cache,Deployment Failure,DNS resolution failures in internal VPC.,Expired TLS certificate on internal load balancer.,Rolled back to the previous stable release and initiated RCA.,231
INC-1273,2025-11-29 15:01:54,Auth-Service,Deployment Failure,Jenkins build pipeline failing on integration tests.,Memory limits set too low in Kubernetes deployment manifests.,Rebooted unresponsive nodes and cordoned them for investigation.,56
INC-1112,2025-12-01 12:33:54,Redis-Cache,Database Error,DNS resolution failures in internal VPC.,Upstream API dependency rate-limited our service requests.,Implemented exponential backoff and contacted vendor for quota increase.,158
INC-1292,2025-12-01 19:39:54,Frontend-UI,Deployment Failure,High CPU utilization detected on primary nodes.,Network partition between primary and secondary availability zones.,Restarted kubelet service on affected worker nodes.,227
INC-1449,2025-12-01 20:15:54,Analytics-Worker,Deployment Failure,Disk space critical: > 95% utilized on /var/log.,"Log rotation failed, filling up disk space.",Increased pod resource limits (memory) in Helm chart and redeployed.,98
INC-1018,2025-12-02 14:04:54,Redis-Cache,Database Error,High number of 5xx errors from backend services.,Expired TLS certificate on internal load balancer.,Increased pod resource limits (memory) in Helm chart and redeployed.,225
INC-1197,2025-12-02 21:02:54,Analytics-Worker,Database Error,Connections refused by the primary database.,Network partition between primary and secondary availability zones.,Killed the blocking database queries and added missing indexes.,8
INC-1398,2025-12-03 09:00:54,Frontend-UI,Performance Degradation,Pods are stuck in CrashLoopBackOff state.,Surge in unexpected traffic overwhelmed the service capacity.,Implemented exponential backoff and contacted vendor for quota increase.,68
INC-1042,2025-12-03 09:57:54,Frontend-UI,Deployment Failure,SSL Certificate expiration warning.,Missing index on newly deployed database table causing full table scans.,Scaled up replicas from 3 to 10 to handle the load.,157
INC-1126,2025-12-04 18:33:54,Auth-Service,Database Error,Connections refused by the primary database.,Upstream API dependency rate-limited our service requests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,63
INC-1067,2025-12-04 23:00:54,Redis-Cache,Service Outage,API response times exceeded 2000ms threshold.,CI/CD runner ran out of disk space during docker build.,Flushed Redis cache and restarted worker instances.,52
INC-1118,2025-12-05 01:32:54,Analytics-Worker,Database Error,502 Bad Gateway errors observed from load balancer.,"Log rotation failed, filling up disk space.","Cleared old logs, freed 20GB, and fixed logrotate cron job.",26
INC-1368,2025-12-05 21:23:54,Frontend-UI,Network Timeout,Connections refused by the primary database.,Expired TLS certificate on internal load balancer.,Implemented exponential backoff and contacted vendor for quota increase.,92
INC-1233,2025-12-06 13:04:54,Payment-Gateway,Service Outage,Connections refused by the primary database.,Surge in unexpected traffic overwhelmed the service capacity.,Scaled up replicas from 3 to 10 to handle the load.,42
INC-1166,2025-12-06 19:13:54,Analytics-Worker,Database Error,Disk space critical: > 95% utilized on /var/log.,Memory limits set too low in Kubernetes deployment manifests.,Restarted kubelet service on affected worker nodes.,151
INC-1386,2025-12-07 15:46:54,User-API,Performance Degradation,Redis cache eviction rate spiked.,Network partition between primary and secondary availability zones.,Flushed Redis cache and restarted worker instances.,69
INC-1304,2025-12-09 20:56:54,Kafka-Cluster,Performance Degradation,Pods are stuck in CrashLoopBackOff state.,CI/CD runner ran out of disk space during docker build.,Scaled up replicas from 3 to 10 to handle the load.,160
INC-1464,2025-12-10 14:56:54,Auth-Service,Service Outage,DNS resolution failures in internal VPC.,Missing index on newly deployed database table causing full table scans.,Corrected the AWS security group rules to allow port 443.,17
INC-1091,2025-12-11 14:22:54,Analytics-Worker,Database Error,Redis cache eviction rate spiked.,Surge in unexpected traffic overwhelmed the service capacity.,Increased pod resource limits (memory) in Helm chart and redeployed.,163
INC-1234,2025-12-11 19:03:54,CI/CD Pipeline,Service Outage,502 Bad Gateway errors observed from load balancer.,Missing index on newly deployed database table causing full table scans.,Implemented exponential backoff and contacted vendor for quota increase.,144
INC-1026,2025-12-11 22:53:54,Redis-Cache,Performance Degradation,502 Bad Gateway errors observed from load balancer.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,184
INC-1106,2025-12-11 23:51:54,Auth-Service,Database Error,Memory leak causing OOM (Out of Memory) kills.,Missing index on newly deployed database table causing full table scans.,Rolled back to the previous stable release and initiated RCA.,164
INC-1133,2025-12-12 21:22:54,User-API,Database Error,Disk space critical: > 95% utilized on /var/log.,Deadlock in concurrent transaction processing.,Restarted kubelet service on affected worker nodes.,176
INC-1063,2025-12-14 09:06:54,Redis-Cache,Performance Degradation,Redis cache eviction rate spiked.,Network partition between primary and secondary availability zones.,Rolled back to the previous stable release and initiated RCA.,113
INC-1284,2025-12-14 18:40:54,Auth-Service,Security Alert,Pods are stuck in CrashLoopBackOff state.,Surge in unexpected traffic overwhelmed the service capacity.,Increased pod resource limits (memory) in Helm chart and redeployed.,59
INC-1361,2025-12-14 21:46:54,Redis-Cache,Service Outage,Kafka consumer lag building up beyond alerting threshold.,Surge in unexpected traffic overwhelmed the service capacity.,Scaled up replicas from 3 to 10 to handle the load.,157
INC-1383,2025-12-15 14:25:54,Auth-Service,Security Alert,Redis cache eviction rate spiked.,Network partition between primary and secondary availability zones.,Killed the blocking database queries and added missing indexes.,90
INC-1023,2025-12-15 23:55:54,Frontend-UI,Deployment Failure,Redis cache eviction rate spiked.,Recent deployment introduced a memory leak.,Scaled up replicas from 3 to 10 to handle the load.,98
INC-1399,2025-12-16 04:34:54,Inventory-DB,Deployment Failure,API response times exceeded 2000ms threshold.,Expired TLS certificate on internal load balancer.,Cleared docker builder cache and expanded runner EBS volume.,213
INC-1110,2025-12-16 21:05:54,Redis-Cache,Network Timeout,Database replication lag exceeded 5 minutes.,"Log rotation failed, filling up disk space.",Rolled back to the previous stable release and initiated RCA.,73
INC-1022,2025-12-17 02:27:54,CI/CD Pipeline,Service Outage,Disk space critical: > 95% utilized on /var/log.,Surge in unexpected traffic overwhelmed the service capacity.,Rebooted unresponsive nodes and cordoned them for investigation.,102
INC-1049,2025-12-17 05:03:54,Inventory-DB,Performance Degradation,502 Bad Gateway errors observed from load balancer.,Missing index on newly deployed database table causing full table scans.,Rolled back to the previous stable release and initiated RCA.,169
INC-1044,2025-12-17 16:21:54,Inventory-DB,Resource Exhaustion,Redis cache eviction rate spiked.,Deadlock in concurrent transaction processing.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",141
INC-1200,2025-12-19 10:47:54,Analytics-Worker,Database Error,High CPU utilization detected on primary nodes.,Expired TLS certificate on internal load balancer.,Scaled up replicas from 3 to 10 to handle the load.,79
INC-1223,2025-12-20 02:54:54,Inventory-DB,Deployment Failure,Memory leak causing OOM (Out of Memory) kills.,"Log rotation failed, filling up disk space.",Rebooted unresponsive nodes and cordoned them for investigation.,100
INC-1473,2025-12-23 01:10:54,CI/CD Pipeline,Security Alert,High number of 5xx errors from backend services.,Upstream API dependency rate-limited our service requests.,Rolled back to the previous stable release and initiated RCA.,113
INC-1222,2025-12-23 07:06:54,User-API,Performance Degradation,High number of 5xx errors from backend services.,Surge in unexpected traffic overwhelmed the service capacity.,Cleared docker builder cache and expanded runner EBS volume.,237
INC-1462,2025-12-23 23:40:54,Payment-Gateway,Security Alert,SSL Certificate expiration warning.,Expired TLS certificate on internal load balancer.,Renewed and deployed updated TLS certificates via Let's Encrypt.,46
INC-1035,2025-12-26 02:26:54,Analytics-Worker,Database Error,High CPU utilization detected on primary nodes.,Network partition between primary and secondary availability zones.,Cleared docker builder cache and expanded runner EBS volume.,11
INC-1256,2025-12-26 19:43:54,CI/CD Pipeline,Database Error,Memory leak causing OOM (Out of Memory) kills.,Upstream API dependency rate-limited our service requests.,Implemented exponential backoff and contacted vendor for quota increase.,182
INC-1084,2025-12-27 07:27:54,Payment-Gateway,Resource Exhaustion,Disk space critical: > 95% utilized on /var/log.,Deadlock in concurrent transaction processing.,Flushed Redis cache and restarted worker instances.,66
INC-1173,2025-12-28 01:37:54,CI/CD Pipeline,Performance Degradation,High CPU utilization detected on primary nodes.,Long-running queries locked database tables.,Restarted kubelet service on affected worker nodes.,131
INC-1400,2025-12-28 07:29:54,User-API,Service Outage,Disk space critical: > 95% utilized on /var/log.,Expired TLS certificate on internal load balancer.,Increased pod resource limits (memory) in Helm chart and redeployed.,54
INC-1058,2025-12-28 09:40:54,Redis-Cache,Service Outage,DNS resolution failures in internal VPC.,Misconfigured security group blocked inter-node traffic.,Rebooted unresponsive nodes and cordoned them for investigation.,236
INC-1485,2025-12-29 15:21:54,Analytics-Worker,Database Error,High number of 5xx errors from backend services.,Recent deployment introduced a memory leak.,Rebooted unresponsive nodes and cordoned them for investigation.,83
INC-1020,2025-12-29 22:29:54,Frontend-UI,Resource Exhaustion,Database replication lag exceeded 5 minutes.,Long-running queries locked database tables.,Increased pod resource limits (memory) in Helm chart and redeployed.,160
INC-1230,2025-12-30 07:18:54,Inventory-DB,Security Alert,High CPU utilization detected on primary nodes.,Surge in unexpected traffic overwhelmed the service capacity.,Renewed and deployed updated TLS certificates via Let's Encrypt.,185
INC-1180,2025-12-31 11:07:54,Kubernetes Cluster,Network Timeout,High CPU utilization detected on primary nodes.,Deadlock in concurrent transaction processing.,Restarted kubelet service on affected worker nodes.,127
INC-1308,2026-01-02 03:59:54,Redis-Cache,Performance Degradation,Database replication lag exceeded 5 minutes.,Memory limits set too low in Kubernetes deployment manifests.,Killed the blocking database queries and added missing indexes.,71
INC-1060,2026-01-02 20:29:54,Analytics-Worker,Network Timeout,High CPU utilization detected on primary nodes.,Upstream API dependency rate-limited our service requests.,Corrected the AWS security group rules to allow port 443.,123
INC-1319,2026-01-03 11:38:54,Redis-Cache,Service Outage,Memory leak causing OOM (Out of Memory) kills.,Network partition between primary and secondary availability zones.,Restarted kubelet service on affected worker nodes.,134
INC-1427,2026-01-04 20:03:54,Kubernetes Cluster,Service Outage,Disk space critical: > 95% utilized on /var/log.,Network partition between primary and secondary availability zones.,Rebooted unresponsive nodes and cordoned them for investigation.,120
INC-1220,2026-01-05 15:55:54,Redis-Cache,Resource Exhaustion,API response times exceeded 2000ms threshold.,Recent deployment introduced a memory leak.,Scaled up replicas from 3 to 10 to handle the load.,219
INC-1252,2026-01-05 23:41:54,Auth-Service,Service Outage,Jenkins build pipeline failing on integration tests.,Misconfigured security group blocked inter-node traffic.,Restarted kubelet service on affected worker nodes.,116
INC-1089,2026-01-09 13:40:54,Analytics-Worker,Service Outage,Connections refused by the primary database.,Upstream API dependency rate-limited our service requests.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",158
INC-1202,2026-01-10 02:59:54,Analytics-Worker,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,Long-running queries locked database tables.,Implemented exponential backoff and contacted vendor for quota increase.,189
INC-1170,2026-01-10 12:13:54,CI/CD Pipeline,Network Timeout,SSL Certificate expiration warning.,Recent deployment introduced a memory leak.,Rebooted unresponsive nodes and cordoned them for investigation.,95
INC-1047,2026-01-11 15:14:54,User-API,Deployment Failure,Memory leak causing OOM (Out of Memory) kills.,Recent deployment introduced a memory leak.,Restarted kubelet service on affected worker nodes.,47
